MMM,3M,173.04,1.54,0.90%,156,102,-9.19%,
AXP,American Express,123.75,-0.19,-0.15%,115,554,29.73%,
AAPL,Apple,197.4,-2.34,-1.17%,2,558,389,25.30%
BA,Boeing,363.13,-0.9,-0.25%,616,311,12.58%,
CAT,Caterpillar,136.44,0.94,0.69%,242,425,7.37%,
CVX,Chevron,123.97,0.86,0.70%,267,918,13.96%,
CSCO,Cisco,55.31,-0.42,-0.75%,1,314,722,27.65%
KO,Coca-Cola,51.09,0.01,0.02%,401,377,7.92%,
DIS,Disney,139.16,-0.14,-0.10%,649,240,26.90%,
DOW,Dow Chemical,50.62,-0.29,-0.57%,163,856,--,
XOM,Exxon Mobil,76.14,0.32,0.42%,536,132,11.61%,
GS,Goldman Sachs,203.86,4.54,2.28%,749,125,21.95%,
HD,Home Depot,208.78,1.76,0.85%,201,459,21.49%,
IBM,IBM,138.79,0.27,0.19%,182,569,22.06%,
INTC,Intel,47.98,0.52,1.10%,2,133,172,2.17%
JNJ,Johnson & Johnson,139.83,-0.86,-0.61%,378,354,8.43%,
JPM,JPMorgan Chase,111.48,2.64,2.43%,2,701,976,14.18%
MCD,McDonald's,207.74,1.47,0.71%,185,818,17.01%,
MRK,Merck,84.03,0.2,0.24%,741,966,9.96%,
MSFT,Microsoft,133.63,-0.52,-0.39%,1,566,664,31.54%
NKE,Nike,84.18,0.52,0.62%,2,284,866,13.54%
PFE,Pfizer,43.59,0.15,0.36%,1,5,880,-0.14%
PG,Procter & Gamble,110.57,0.79,0.72%,573,374,20.35%,
TRV,Travelers Companies Inc,148.9,-0.3,-0.20%,82,792,24.27%,
UTX,United Technologies,128.56,-0.41,-0.32%,121,381,20.82%,
UNH,UnitedHealth,239.86,-6.48,-2.63%,690,593,-3.72%,
VZ,Verizon,57.27,0.03,0.04%,495,995,1.87%,
V,Visa,170.91,-0.32,-0.19%,315,391,29.54%,
WMT,Wal-Mart,111.06,0.96,0.88%,499,421,19.23%,
WBA,Walgreen,54.3,-0.22,-0.40%,554,604,-20.50%,
